model,fold,y_true,y_score
KNN,1,0.0,0.5454545454545454
KNN,1,0.0,0.45454545454545453
KNN,1,1.0,0.18181818181818182
KNN,1,1.0,0.9090909090909091
KNN,1,1.0,0.7272727272727273
KNN,1,1.0,0.8181818181818182
KNN,1,1.0,0.9090909090909091
KNN,1,0.0,0.09090909090909091
KNN,1,0.0,0.6363636363636364
KNN,1,0.0,0.7272727272727273
KNN,1,0.0,0.45454545454545453
KNN,1,1.0,0.45454545454545453
KNN,1,1.0,0.36363636363636365
KNN,1,1.0,0.2727272727272727
KNN,1,1.0,0.7272727272727273
KNN,1,1.0,0.45454545454545453
KNN,1,1.0,0.7272727272727273
KNN,1,1.0,0.36363636363636365
KNN,1,0.0,0.2727272727272727
KNN,1,0.0,0.9090909090909091
KNN,1,0.0,0.5454545454545454
KNN,1,0.0,0.36363636363636365
KNN,1,1.0,0.7272727272727273
KNN,1,0.0,0.45454545454545453
KNN,1,0.0,0.0
KNN,1,1.0,0.8181818181818182
KNN,1,1.0,0.9090909090909091
KNN,1,0.0,0.5454545454545454
KNN,1,1.0,0.9090909090909091
KNN,1,0.0,0.6363636363636364
KNN,1,1.0,0.45454545454545453
KNN,1,0.0,0.45454545454545453
KNN,1,0.0,0.5454545454545454
KNN,1,1.0,0.5454545454545454
KNN,1,1.0,0.7272727272727273
KNN,1,1.0,0.5454545454545454
KNN,1,0.0,0.6363636363636364
KNN,1,0.0,0.18181818181818182
KNN,1,0.0,0.45454545454545453
KNN,1,0.0,0.36363636363636365
KNN,1,1.0,0.8181818181818182
KNN,1,1.0,0.5454545454545454
KNN,1,1.0,0.7272727272727273
KNN,1,1.0,0.5454545454545454
KNN,1,0.0,0.7272727272727273
KNN,1,1.0,0.36363636363636365
KNN,1,0.0,0.45454545454545453
KNN,1,1.0,0.2727272727272727
KNN,1,0.0,0.8181818181818182
KNN,1,0.0,0.45454545454545453
KNN,1,0.0,0.36363636363636365
KNN,1,0.0,0.7272727272727273
KNN,1,0.0,0.2727272727272727
KNN,1,0.0,0.5454545454545454
KNN,1,1.0,0.45454545454545453
KNN,1,1.0,0.36363636363636365
KNN,1,0.0,0.5454545454545454
KNN,1,0.0,0.45454545454545453
KNN,1,1.0,0.8181818181818182
KNN,1,0.0,0.5454545454545454
KNN,1,1.0,0.6363636363636364
KNN,1,1.0,0.45454545454545453
KNN,1,1.0,0.7272727272727273
KNN,1,0.0,0.09090909090909091
KNN,1,1.0,0.7272727272727273
KNN,1,1.0,0.6363636363636364
